month,scene,zone,metric,value,cloud
2019-12,S2A_48NUG_20191227_1_L2A,pax_t4,pairdiff,1638042.0,0.18473018473018474
2019-12,S2A_48NUG_20191227_1_L2A,airfield,pairdiff,25832232.0,0.11146555052116139
2020-01,S2A_48NUG_20200106_0_L2A,west_cargo,stock_bright,1440.0,0.00040404040404040404
2020-01,S2A_48NUG_20200106_0_L2A,east_cargo,stock_bright,1588.0,0.0009735913350371182
2020-01,S2A_48NUG_20200106_0_L2A,pax_t123,stock_bright,1616.0,0.0015585427625170465
2020-01,S2A_48NUG_20200106_0_L2A,pax_t4,stock_bright,2132.0,0.002002002002002002
2020-01,S2A_48NUG_20200106_0_L2A,airfield,stock_bright,1356.0,0.008493000386045472
2020-01,S2A_48NUG_20200106_1_L2A,west_cargo,stock_bright,1420.0,0.0
2020-01,S2A_48NUG_20200106_1_L2A,east_cargo,stock_bright,1578.0,0.0
2020-01,S2A_48NUG_20200106_1_L2A,pax_t123,stock_bright,1594.0,0.0
2020-01,S2A_48NUG_20200106_1_L2A,pax_t4,stock_bright,2098.0,0.0
2020-01,S2A_48NUG_20200106_1_L2A,airfield,stock_bright,1338.0,0.0
2020-01,S2A_48NUG_20200106_1_L2A,west_cargo,pairdiff,1834758.0,0.00040404040404040404
2020-01,S2A_48NUG_20200106_1_L2A,east_cargo,pairdiff,1587204.0,0.0009735913350371182
2020-01,S2A_48NUG_20200106_1_L2A,pax_t123,pairdiff,5027606.0,0.0015585427625170465
2020-01,S2A_48NUG_20200106_1_L2A,pax_t4,pairdiff,2233509.0,0.002002002002002002
2020-01,S2A_48NUG_20200106_1_L2A,airfield,pairdiff,31662076.0,0.008493000386045472
2020-01,S2A_48NUG_20200126_0_L2A,west_cargo,stock_bright,1550.0,0.04101010101010101
2020-01,S2A_48NUG_20200126_0_L2A,east_cargo,stock_bright,1684.0,0.027990750882317148
2020-01,S2A_48NUG_20200126_0_L2A,pax_t123,stock_bright,1876.0,0.3037989479836353
2020-01,S2A_48NUG_20200126_0_L2A,pax_t4,stock_bright,2714.0,0.06515606515606516
2020-01,S2A_48NUG_20200126_0_L2A,airfield,stock_bright,1406.0,0.07532966251498466
